uid,block,order,template,type,attributes,parameters,options,content,parent_uid,status
content-065,block-050,6,template-001,text,"{""href"":""[::{\""url\"":\""user.account\""}::]""}","{""html_tag"":""a""}","{""wrapper"":{""outer"":{""parameters"":{""html_tag"":""li""}}}}",Logged in as <strong>[::viewHelper:getIdentity::]</strong>,0,1
content-500,block-500,6,,link,"{""href"":""/page/list""}","{""html_tag"":""a""}","{""wrapper"":{""outer"":{""parameters"":{""html_tag"":""li""},""attributes"":{""role"":""presentation""}}}}",Pages,0,1
content-501,block-500,7,,link,"{""href"":""/user/list""}","{""html_tag"":""a""}","{""wrapper"":{""outer"":{""parameters"":{""html_tag"":""li""},""attributes"":{""role"":""presentation""}}}}",Users,0,1
content-502,block-500,10,,separator,"{""class"":""separator clreafix""}","{""html_tag"":""hr""}","{""wrapper"":{""outer"":{""parameters"":{""html_tag"":""li""}}}}",,0,1
content-503,block-500,12,,link,"{""href"":""/logout""}","{""html_tag"":""a""}","{""wrapper"":{""outer"":{""parameters"":{""html_tag"":""li""},""attributes"":{""role"":""presentation""}}}}",Logout,0,1
content-504,block-500,1,,link,"{""href"":""[::{\""url\"":{\""page.update\"":{\""url\"":\""uid\""}}}::]""}","{""html_tag"":""a""}","{""wrapper"":{""outer"":{""parameters"":{""html_tag"":""li""}}}}",Edit this Page,0,1
content-505,block-500,2,,separator,"{""class"":""separator clreafix""}","{""html_tag"":""hr""}","{""wrapper"":{""outer"":{""parameters"":{""html_tag"":""li""}}}}",,0,1
content-506,block-500,0,,link,"{""id"":""menu-admin-toggle-btn"",""class"":""btn btn-default""}","{""html_tag"":""a""}","{""wrapper"":{""outer"":{""parameters"":{""html_tag"":""li""}}}}",Hide Menu >>,0,1
content-499,block-501,1,,link,"{""id"":""menu-admin-toggle-show-btn"",""class"":""btn btn-default""}","{""html_tag"":""a""}","{""wrapper"":{""outer"":{""parameters"":{""html_tag"":""li""}}}}",Admin Menu,0,1
content-507,block-500,3,,link,"{""href"":""/bookings/list""}","{""html_tag"":""a""}","{""wrapper"":{""outer"":{""parameters"":{""html_tag"":""li""}}}}",Bookings,0,1
content-508,block-500,4,,link,"{""href"":""/messages/list""}","{""html_tag"":""a""}","{""wrapper"":{""outer"":{""parameters"":{""html_tag"":""li""}}}}",Messages,0,1
content-509,block-500,7,,link,"{""href"":""/settings/list""}","{""html_tag"":""a""}","{""wrapper"":{""outer"":{""parameters"":{""html_tag"":""li""}}}}",Configuration,0,1
content-510,block-500,9,,link,"{""href"":""/application""}","{""html_tag"":""a""}","{""wrapper"":{""outer"":{""parameters"":{""html_tag"":""li""}}}}",Application,0,1
content-511,block-500,11,,link,"{""href"":""/user/account""}","{""html_tag"":""a""}","{""wrapper"":{""outer"":{""parameters"":{""html_tag"":""li""}}}}",My Account,0,1
content-512,block-500,5,,link,"{""href"":""/gallery/list""}","{""html_tag"":""a""}","{""wrapper"":{""outer"":{""parameters"":{""html_tag"":""li""}}}}",Gallery,0,1
